Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
Google,"Mobile Web Specialist, LCS Central Europe (German)",Sales & Account Management,"München, Germany","Work with Google’s largest customers on projects that help them improve their mobile websites - in order to offer their users a better experience and increase their mobile ROI
Consult our advertisers on how to make their mobile sites load faster and improve the User Experience (UX) using tools like Lighthouse, WebPageTest and Google’s UX and speed research findings. Help our advertisers understand how Next Generation mobile web technologies from Google can improve their mobile site - from Accelerated Mobile Pages (AMP) to Progressive Web Apps (PWA) to our Payments and Identity APIs etc.
Partner with Google's tech support teams to leverage technical support for our most advanced advertisers. Successfully manage these cross-functional projects to speed up the implementation progress and increase the success rate.
Develop relations with both regional and global product management teams at Google to roll out best-in-class products to your country. Collate advertiser feedback in order to further improve our products.
Organize mobile site events, incl. hackathons and workshops. Train advertisers and agencies on mobile site speed, UX and technologies; develop case studies of successful projects for publication on our Think with Google site and at events to scale best practices to the wider industry.","Bachelor's degree or equivalent practical experience.
Experience with mobile marketing and mobile websites.
Experience in consultative sales, with client-facing experience.
Ability to speak and write in German and English fluently and idiomatically.","Extensive experience working with large clients and partners across different levels and cross-functional stakeholders.
Experience with diagnosing and improving mobile website load speed. Experience giving UX advice and proposing a/b testing plans.
Experience with Next Generation mobile web technologies like Accelerated Mobile Pages (AMP), Progressive Web Apps (PWA), Payments APIs, Identity APIs, https and interest in the next wave of digital touchpoints (Voice, Google Assistant).
Understanding of mobile web development (HTML, CSS and JavaScript experience).
Demonstrated ability to influence in regards to mobile and to drive tangible impact for large corporate organizations.
Passion for a faster and better mobile Web."
Google,"Global Partnerships Solutions Lead, News and Publishing",Partnerships,"New York, NY, United States","Build and inform the strategic direction for how Google partners with News and Publishing partners worldwide (Product strategy, partner engagement approach, industry/ecosystem engagement model and internal community/coordination).
Build and support relationships with senior cross-functional team members, including Marketing, Technical Support, Legal, Policy, Product, Engineering, HR, Finance, Communications, and Compliance to shape a well-coordinated support strategy and execution plans.
Direct and conduct complex analyses, solve strategic and operational challenges and identify key insights.
Communicate results and insights with strategy leads and key leaders (e.g. through presentations and ongoing analysis/reports, etc).","BA/BS degree in a technical or quantitative/business-oriented field or equivalent practical experience.
7 years of relevant work experience.
5 years of experience in a management consulting/corporate strategy role.","MBA or equivalent degree.
Experience working in the broadcast, media, technology and/or entertainment industry.
Knowledge of the news/journalism industry.
Ability to collaborate with stakeholders and drive change across all levels within an organization.
Entrepreneurial, creative, intellectually curious, persistent and highly collaborative, with a passion for and understanding of Google products.
Ability to grasp complex technical and product concepts, with excellent interpersonal and communication skills."
Google,"Sales and Customer Growth Strategist, Google Cloud (Spanish)",Sales & Account Management,"Austin, TX, United States","Deliver against assigned business and pipeline goals while prioritizing an outstanding customer experience for our partners and prospects.
Contribute to territory strategy in generating and developing business growth opportunities in the defined LatAm market. Work with Field Sales Executives and Customer Engineers as a critical member of the team, and work closely with other Google Partners, in order to maximize business results in territory and to cultivate other opportunities.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle. Explore and understand complex customer requirements on both a business and technical level.
Lead demand generation and other associated campaigns from conception, planning, execution, and launch to post-launch analysis, directly and with partners.
Establish key relationships cross-functionally with regional peers, Sales Operations, Product Management, and Product Marketing teams. Identify and pursue business development opportunities. Analyze data trends and client performance, prepare and conduct presentations, and maintain effective communication with customers via phone/email and video conferencing technologies.","BA/BS degree or equivalent practical experience.
3 years of sales/relationship management experience in the technology industry, working with with Software/Platform/Infrastructure-as-a-Service (SaaS, PaaS or IaaS) products.
Ability to speak and write in English and Spanish fluently and idiomatically.","Experience working with customer relationship management (CRM) systems. Experience working towards strategic goals in the technology industry, with SaaS, PaaS or IaaS products in LatAm.
Technically minded, with an understanding of the technology and cloud computing market, and a passion for Google Cloud products (G-Suite, Google Cloud Platform).
Ability to build influential relationships and operate in a cross-functional environment.
Ability to effectively operate with flexibility in a fast-paced, constantly evolving team environment.
Goal oriented, self-motivated individual who is confident, thorough and tenacious. Analytical, detail-oriented and able to 'zoom' in/out from the big picture to the minutiae.
Effective communication and presentation skills, both written and verbal."
Google,"Field Sales Representative, Google Cloud",Sales & Account Management,"New York, NY, United States","Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Customer Engineers, and Google Partners - all to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities.","Bachelor's degree or equivalent practical experience.
4 years of field sales experience in the technology industry selling enterprise software.","10 years of experience selling IaaS or PaaS with a demonstrated track record in reaching and exceeding sales goals in the technology industry. Experience using CRM system such as Salesforce.com.
Technical or sales engineering experience in Computer Science or Information Systems.
Demonstrable ability to speak credibly about platform- and infrastructure-as-a-service, and perform basic technical qualification.
Ability to build influential relationships and deliver results in a cross-functional/matrixed environment.
Ability to effectively operate with flexibility in a fast-paced, constantly evolving team environment.
Excellent written/verbal communication/presentation skills, and strong strategic and analytical thinking skills, with the ability to plan, pitch, and execute a territory sales strategy."
Google,"Account Executive, Programmatic (Spanish)",Sales & Account Management,"Mexico City, Mexico","Develop and maintain C-level relationships to serve as a trusted partner with our customers.
Manage strategic account and business planning to define your business strategies and tactics.
Build and maintain a strong knowledge of the Google/DoubleClick suite of solutions. Monitor and become an expert on the market landscape.
Coordinate internal resources across many functional areas.","BA/BS degree or equivalent practical experience.
8 years of experience in advertising sales, marketing, consulting or media.
Experience in technology consulting, data analysis and/or Business Intelligence.
Ability to speak and write in English and Spanish fluently and idiomatically.","Experience building relationships with stakeholders.
Strong familiarity with online media buying and selling processes and a base knowledge of DSPs, SSPs, and Ad Exchange.
Strong ability to navigate ambiguity and manage competing priorities.
Demonstrated strategic and analytical sales approach.
Excellent written and verbal communications skills and the ability to influence others."
Google,"Deal Manager, Google Cloud",Sales Operations,"Tokyo, Japan","Partner with Field Sales teams early in the business cycle to drive proposal development and shape large, strategic, enterprise agreements.
Project manage the consultation and execution of agreements and coordinate the preparation of responses to Requests for Information/Proposals/Quotations.
Engage directly with enterprise customers to lead commercial and contractual consultations, independently handling objections, socializing customer requests with internal stakeholders, and coordinating approvals.
Build productive relationships and feedback loops with teams to accelerate agreements and drive continuous process improvement and serve as the Commercial Operations business partner to Regional Sales and Sales Operations Management, attending forecast calls, staff meetings and business reviews to keep apprised of priorities.
Introduce prospective customers to cloud concepts, norms and industry standards. Draft term sheets and provide customer facing analysis demonstrating value of the Google solution.","BA/BS degree in Technology, Engineering, Science or Economics, or equivalent practical experience.
8 years of experience leading agreement consultation and management and/or experience in an executive sales role in a technology company
Experience developing agreements, project management and financial modeling.","Experience in project management, with the ability to lead and handle multiple time-sensitive projects.
Experience developing complex agreement structures and using presentation software to facilitate communications with internal and external stakeholders.
Working knowledge of commercial Customer Relationship Manager (CRM) and Enterprise Resource Planning (ERP) systems.
Effective analytical and problem solving skills, with the ability to present analytical findings
Excellent business acumen and effective communication skills, with the ability to comfortably interact with and influence internal and external leadership.
Ability to speak and write in Japanese fluently and idiomatically. Business level communication in English."
Google,"Strategic Partner Manager (Technical), Channel Sales",Partnerships,"Mountain View, CA, United States","Identify, drive, and optimize business growth flow from new business opportunities by leveraging Google technologies
Manage and maximize customer acquisition and business generation through Google's small and medium sized business channel partners. Implement processes for managing, engaging, and expanding technology partnerships.
Lead cross-functional team with Engineering Sales and Partner Managers toward common goal with specific partners.
Address product related questions and technical challenges and Improve product feature offerings by providing partner feedback to internal cross-functional teams including Product Management and Engineering.
Analyze and optimize the business growth of existing partners.","Bachelor's degree in Computer Science or related technical field or equivalent practical experience.
3 years of experience as a Software engineering, Product management or Technical Program Manager.
2 years of experience with web technologies such as HTTP, HTML, XML, etc.
2 years of experience either building API’s or in managing technical integrations through API’s.","Experience in API/back-end code in one of the following languages: Ruby, Java or Python.
Excellent project management and business negotiation skills.
Effective at managing through influence.
Excellent organizational and analytical skills.
Effective verbal and written communication skills, including presentation writing and delivery."
Google,"Account Executive, Waze (Spanish)",Sales & Account Management,"Bogotá, Colombia","Develop and cultivate deep relationships with agency executives and clients.
Lead industry-focused knowledge, go-to-market approach and value proposition.
Generate and grow advertising business across our unique mobile product line.
Identify client business needs and develop a consultative approach in order to substantially grow accounts.","BA/BS degree or equivalent practical experience.
6 years of experience in an advertising business, and/or in a business development or online media environment.
Ability to speak and write in English and Spanish fluently and idiomatically.","Sales experience across a multitude of industry verticals, such as Fuel, Auto, Retail and Finance.
Experience in developing new business and/or in account management within an online advertising agency.
Experience in achieving strategic business goals."
Google,"Technical Analytics Architect, Google Cloud Online Experience",Marketing & Communications,"Sunnyvale, CA, United States","Work closely with Optimization and Web team members to define Key Performance Indicators (KPIs) and critical measurements and then translate these requirements into analytics tracking.
Work with technical team to ensure accurate and comprehensive web analytics implementation and successful deployment of new solutions.
Identify opportunities for automation and innovation in the area of web analytics implementation, quality assurance testing to validate and debug analytics implementations and web experimentation projects.
Create proper data architecture, data integration, reporting and dashboarding for ETL projects. Work with other teams to integrate online data with other channels, to allow comprehensive business insight across multiple channels.
Support the internal team in the installation, configuration and use of Google Analytics, Google Tag Manager, and other Google products.","BA/BS degree in Computer Science or equivalent practical experience.
5 years of experience in a technical web or technical business analytics role
Experience with SQL-based queries (PHP, MySQL or other), flat-file handling through programmatic code, ETL tools, database or business intelligence experience.
Experience with customized implementation of enterprise web analytics solutions (Google Analytics) and tag management solutions (Google Tag Manager, Tealium, Adobe Activation, Qubit). Experience with the implementation of enterprise experimentation solutions (Google Optimize, Adobe Test & Target, Optimizely, etc).","Experience with measuring and optimizing online advertising, SEO, PPC, social media and/or mobile.
Knowledge of JavaScript visualization libraries, Bootstrap UI library, Google Analytics implementation libraries, APIs and AJAX/REST-based queries.
Demonstrated experience applying data visualization best practices, including experience with data visualization platforms (Data Studio, Tableau).
Ability to communicate with both business and technical counterparts, particularly the skill of expressing in detail the tracking needs to be implemented/developed and the logic behind it."
Google,"Google Analytics Solutions, Specialist (Korean)",Sales & Account Management,"Seoul, South Korea","Investigate and track client implementation concerns and collaborate with cross functional team to resolve any Google Analytics implementation issues. support narrative creation
Work collaboratively in a large sales organization to drive market share growth for the product.
Develop strong relationships within all levels of major advertisers, publishers, resellers and agencies to serve as a trusted consultant in order to solidify and grow those partnerships.relevant to Korea market needs
Manage current accounts and consult clients on how best to leverage digital ad platforms with a data-driven approach.
Coordinate internal resources across many functional areas to garner business and fulfill customer needs.","Bachelor's degree or equivalent practical experience.
Experience in data driven marketing and marketing/media performance reports and metrics.
Experience with website analytics and ad technologies spaces and their key players.
Ability to speak and write in Korean and English fluently and idiomatically","Ability to develop and grow senior-level relationships with advertiser, publisher and agency customers.
Knowledge of mobile app analytics, website analytics, advertising analytics and digital ad platforms and established relationships within the digital marketing and analytics industry.
Understanding of the industry's issues, a vision for its growth, and a commitment to advance Google's forward-looking strategies within the marketplace."
Google,"Deal Manager, Google Cloud",Sales & Account Management,"San Francisco, CA, United States","Partner with Field Sales teams early in the sales cycle to manage proposal development and shape strategic agreements.
Engage directly with business customers to lead commercial and agreement discussions; independently handle objections, socialize customer requests with internal stakeholders and coordinate approvals.
Serve as the Commercial Operations business partner to Regional Sales and Sales Operations Management, attending forecast calls, staff meetings and quarterly business reviews to keep apprised of priorities.
Build productive relationships and feedback loops with Legal, Finance, Sales and Product teams to accelerate agreement closure and drive continuous process improvement.","BA/BS degree in Technology, Engineering, Science or Economics or equivalent practical experience.
8 years of experience in leading agreement discussions, agreement management and/or executive selling within a technology company.
Experience in a Project Management role, developing agreements and financial modeling.
Ability to travel up to 50% of the time.","MBA, Master's, JD or other advanced degree.
Experience developing complex agreement structures and using presentation software to facilitate communication with internal and external stakeholders.
Knowledge of commercial Customer Relationship Manager (CRM) and Enterprise Resource Planning (ERP) systems.
Ability to lead and handle multiple time-sensitive projects.
Effective analytical and problem solving capabilities, with business judgement and the ability to present analysis in a clear and compelling manner."
Google,"Global Technical Alliance Manager, Strategic Consultative Partnerships",Partnerships,"Sunnyvale, CA, United States","Work with Alliance Managers to manage and grow new strategic partnerships, acting as Chief Technical Officer (CTO) of the partnership.
Demonstrate thought leadership and become a trusted technical advisor to our partners.
Develop technical relationships with leaders from partners’ vertical and horizontal practice areas.
Provide architectural advisory support for partners and their customers, including reviewing partners’ solution designs and identifying how to maximizing usage of Google products, independently architecting and documenting new solutions which would meet partners’ business objectives, and working closely with field sales teams to solve partner problems and address detailed questions in active agreements.
Co-develop Go-to-Market offerings with our partners to meet the needs of joint customers.","BS degree in Computer Science or equivalent practical experience.
5 years of experience in enterprise IT, Technology Consulting or Independent Software Vending (ISV) presenting complex technical topics to stakeholders, or equivalent practical experience.
Experience across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.","Master's degree in Computer Science or equivalent practical experience.
7 years of experience as a Technology Architect in a large consulting firm.
Experience delivering cloud-based solutions for enterprise customers, and experience with distributed systems, infrastructure automation, continuous integration, relational and NoSQL databases, load balancing, storage and high availability.
Experience building a practice area including skill/capability development, definition of offerings and asset development.
Ability to code with Java or Python and leverage cloud-based Big Data platforms and services to solve business analytics problems in the cloud.
Ability to mix technical expertise with simple, everyday language to deliver a story that is memorable and useful."
Google,"Partner Development Manager, Online Partnerships Group (English, Mandarin)",Partnerships,"Beijing, China","Manage a team responsible for acquiring new partners. Actively coach and develop a team on effective outreach and presentations, guide their immediate and long-term development and results.
Drive key outbound partner initiatives and develop business cases to shape the future of businesses.
Develop and manage partner engagement strategy and key C-level executive relationships. Manage client-facing team and cross-functional resources to structure strategic agreements and proposals (including solution development, pricing, rollout and operational implications).
Manage goals and business processes to grow the partner portfolio, including forecasting, pipeline management, and setting goals and incentives to motivate team.
Work collaboratively with other functional teams in Online Partnerships and across Google to deliver long-term value through these partnerships.","BA/BS degree or equivalent practical experience.
Experience in a Strategy Consulting and/or Enterprise-Business Development leadership role.
Ability to speak and write in English and Mandarin fluently and idiomatically.","MBA or advanced professional degree.
Demonstrated ability to lead coach and mentor a sales team.
Existing industry relationships in advertising and media. Knowledge of online advertising growth models and ad technology, including RTB, programmatic, and ad platforms.
Understanding of how the C-suite plans and manages Profit and Loss for their business and how Google platforms can shape their approach to drive sustainable growth at scale.
Strategic thinker, with effective planning, analytical and problem-solving abilities."
Google,"Quantitative Analyst, Trust and Safety",Product & Customer Support,"Zürich, Switzerland","Work with data sets and solve non-routine analytical challenges, applying analytical methods as required. Conduct end-to-end analysis including: data gathering and requirements specification, processing, analysis, ongoing deliverables and presentations.
Build and prototype analysis pipelines iteratively to provide insights at scale. Develop an understanding of data structures and goals, advocating for changes where needed for both products development and sales activity.
Interact cross-functionally with a wide variety of teams, and work closely with Engineers to identify opportunities for design.
Make business recommendations with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
Research and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products.","Master's degree in a quantitative discipline or equivalent practical experience.
Experience working in data analysis or a related field (e.g statistician/data scientist/computational biologist/bioinformatician).","PhD in a quantitative discipline.
Experience in coding (e.g C/C++, Python, Java), databases and querying (e.g SQL, MySQL, MapReduce, Hadoop) and statistical analysis (e.g., R, Stata, SPSS, SAS).
Experience working with fraud, security and threat analysis in the context of Internet-related products/activities.
Experience translating analysis results into business recommendations.
Proficiency in Machine Learning (e.g tools, prepare training sets, train classifiers, etc).
Ability to draw inferences, quantify uncertainty, risk and recommend actions."
Google,"Google Cloud Customer Engineer Manager, Financial Services",Finance,"New York, NY, United States","Hire, coach and drive a high performance team to deliver against assigned goals while prioritizing an outstanding customer experience to customers and prospects.
Work with the team to ramp up adoption in the late cycle. Create activities (e.g. identifying and handling key customer technical questions and objections) and develop the strategy to resolve technical impediments and scoping out migration workloads.
Take responsibility for technical aspects of solutions to include such activities as managing product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","Bachelor's degree in Computer Science or equivalent practical experience
10 years of experience serving in the capacity of a technical sales engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team)
People management experience, managing a team and attracting and growing talent.
Technical experience with technology and the cloud computing market.","Master's degree in Computer Science and/or a MBA.
Understanding of solution architecture within web and mobile environments and technical experience of web/internet related technologies, architecture across SAAS, PAAS and IAAS and competitive cloud productivity suites.
Ability to effectively present to both technical and non-technical audiences, engaging C-Level in business and technology transformation and ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the Cloud/IT Technology space.
Proven ability to inspire and grow teams to their full potential particularly in sales environment able to influence cross-functional teams to achieve common business objectives.
Passion for Google Cloud products (G Suite, Google Cloud Platform). Ability to effectively operate with enthusiasm and flexibility in a fast-paced, constantly evolving team environment.
Goal oriented, self-motivated individual who is confident, thorough, and tenacious. Analytical, detail-oriented and able to “zoom” in/out from the big picture to the minutiae. Demonstrated organizational and project management capabilities."
Google,"Field Sales Representative, Google Cloud",Sales Operations,"Portland, OR, United States","Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Inside Sales Representatives, Customer Engineers, and Google Partners to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities.","BA/BS degree or equivalent practical experience.
4 years of experience in Field Sales in the technology industry, selling enterprise software.","4 years of experience selling Platform/Infrastructure-as-a-Service (PaaS/IaaS) with experience working towards strategic business goals in the technology industry.
Experience in Technical and/or Sales Engineering in Computer Science or Information Systems. Experience using CRM systems such as Salesforce.com.
Demonstrated ability to speak credibly about PaaS and IaaS, and perform basic technical qualifications.
Ability to build influential relationships and deliver results in a cross-functional environment.
Ability to effectively operate with flexibility in a fast-paced, dynamic team environment.
Excellent written and verbal communication/presentation, strategic and analytical skills, with the ability to plan, present and execute a territory sales strategy."
Google,Search Specialist (Swedish),Sales & Account Management,"Dublin, Ireland","Optimize the value of client accounts by analyzing and managing their campaign strategy - across both Search and Display - improving campaign performance.
Ensure high performance and measure the impact of the most complex and high value campaigns.
Work with multiple stakeholders to manage the execution of scalable optimization workflows.
Build thorough knowledge of how clients can use Google products to meet their marketing objectives across Google Search, Google Display Network and YouTube.
Be a performance digital consultant for customers. Manage and report on most complex and impactful Search and Display/YouTube campaigns.","BA/BS degree or equivalent practical experience.
Ability to speak and write in English and Swedish fluently and idiomatically.","Relevant experience in creating online marketing and advertising strategies for performance focused clients.
Highly analytical and data driven with project management experience.
Knowledge of Google’s products (Search, Mobile, Google Display Network, YouTube).
Demonstrated ability to influence and create strategic programmes to drive performance (e.g. scalable implementation plans).
Demonstrated ability to influence clients and to build strong client relationships."
Google,"Product Specialist, Google Cloud (English)",Sales Operations,"München, Germany","Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.
Travel regularly in EMEA for meetings, technical reviews and onsite delivery activities.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience working across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience in data and Information Lifecycle Management relating to SAP portfolio and technologies.
Ability to speak and write in English fluently and idiomatically.","Master's degree in Computer Science or other relevant technical field.
Experience with Big Data, Platform-as-a-Service (PaaS) and Infrastructure-as-a-Service (IaaS) technologies.
Experience serving as Customer Service Operative or Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Experience and knowledge of SAP technologies (SAP Business Suite, S/4HANA, SAP Business Warehouse, SAP Hybris, SAP Business Objects, Sybase, Leonardo suite etc.) and their architecture and infrastructure needs.
Experience with SAP HANA, including sizing, disaster recovery, multi tenancy concepts, scale-out architectures and data tiering.
Understanding of SAP cloud offerings with focus on HEC and SAP Cloud Platform. Ability to quickly learn, understand and work with new emerging technologies, methodologies, and solutions in the cloud technology space."
Google,"Sales Lead, SMB, Google Cloud Platform",Sales & Account Management,"Austin, TX, United States","Build and grow a Google Cloud Platform (GCP)-focused SMB Sales team.
Optimize the team for scale and business growth by acquiring new customers and increasing spend from existing GCP customers.
Test and iterate on new approaches to grow spend in this segment, working closely with our partner team and our vendors, as well as working on programmatic initiatives to increase business growth.
Develop and implement best practices, ensuring the team is up to date with the newest trends and improve team skills through development and training.","BA/BS degree or equivalent practical experience.
10 years of experience in people management.
Experience working within the Software/Infrastructure/Platform-as-a-Service (SaaS, IaaS, PaaS) market.
Experience in sales coaching and mentoring.","Experience in an SMB sales role in an online and inside sales capacity.
Ability to effectively operate with high energy and flexibility in a fast-paced, dynamic team environment.
Demonstrated ability to develop sales individuals and managers, with effective executive leadership capabilities.
Demonstrated organizational and project management capabilities, with the ability to multiple tasks with shifting priorities and varying deadlines."
Google,"Product Specialist, Google Cloud (English)",Sales Operations,"Berlin, Germany","Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.
Travel regularly in EMEA for meetings, technical reviews and onsite delivery activities.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience working across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience in data and Information Lifecycle Management relating to SAP portfolio and technologies.
Ability to speak and write in English fluently and idiomatically.","Master's degree in Computer Science or other relevant technical field.
Experience with Big Data, Platform-as-a-Service (PaaS) and Infrastructure-as-a-Service (IaaS) technologies.
Experience serving as Customer Service Operative or Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Experience and knowledge of SAP technologies (SAP Business Suite, S/4HANA, SAP Business Warehouse, SAP Hybris, SAP Business Objects, Sybase, Leonardo suite etc.) and their architecture and infrastructure needs.
Experience with SAP HANA, including sizing, disaster recovery, multi tenancy concepts, scale-out architectures and data tiering.
Understanding of SAP cloud offerings with focus on HEC and SAP Cloud Platform. Ability to quickly learn, understand and work with new emerging technologies, methodologies, and solutions in the cloud technology space."
Google,"Account Executive, Google Cloud",Sales & Account Management,"London, United Kingdom","Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Help develop and execute a territory business plan, and build targeted plans for the Anvato solution, resulting in a robust pipeline.
Execute demand generation activities as needed, and engage, educate, and ensure satisfaction of the installed base.
Qualify, and assist customers in identifying use cases suitable for Google cloud deployment, articulate key differentiators and typical customer buying journeys.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities.","BA/BS degree or equivalent practical experience.
Experience in a technology sales role, working with Software-as-a-Service (SaaS), Infrastructure-as-a-Service (IaaS) or Platform-as-a-Service (PaaS).
Experience working with video streaming, content delivery network (CDN) and video architecture.","Experience with Salesforce and CRM systems integration.
Understanding of the wider ecosystem around video platforms: ad servers, CDN's, billing solutions, broadcast playout systems, digital asset management and encoders/transcoders.
Understanding of how video is monetized through subscriptions and advertisement.
Ability to plan, present, and execute a territory sales strategy.
Demonstrated ability to speak credibly about video distribution workflows for OTT, catchup, live and experience with broadcast specific workflows.
Effective written and verbal communication and presentation skills, with strategic and analytical thinking skills."
Google,"Field Sales Representative, Google Cloud",Sales & Account Management,"Chicago, IL, United States","Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Customer Engineers, and Google Partners - all to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities.","BA/BS degree or equivalent practical experience.
4 years of field sales experience in the technology industry selling enterprise software.","10 years of experience selling IaaS or PaaS with a demonstrated track record in reaching and exceeding sales goals in the technology industry. Experience using CRM system such as Salesforce.com.
Technical or sales engineering experience in Computer Science or Information Systems
Demonstrable ability to speak credibly about platform- and infrastructure-as-a-service, and perform basic technical qualification
Ability to build influential relationships and deliver results in a cross-functional/matrixed environment.
Excellent written/verbal communication/presentation skills, and strong strategic and analytical thinking skills, with the ability to plan, pitch, and execute a territory sales strategy
Ability to effectively operate with flexibility in a fast-paced, constantly evolving team environment."
Google,"Partner Business Manager (DACH), System Integrator Partnerships (German)",Sales & Account Management,"Zürich, Switzerland","Define customer-centric and industry-specific use cases. Build ecosystem of service partners for Google’s cloud infrastructure offerings and Google SaaS offerings.
Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google Cloud and G Suite products. Develop Google reference architectures and solutions.
Help partners grow their practice and product portfolio through joint development of solutions and services. Develop and provide custom presentations on Google Cloud Platform technologies to partners to help them achieve strategic goals.
Advocate for Google’s strategy in key industry events.
Develop Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales and Marketing. Support regional engagement with global and regional partners.","BA/BS degree or equivalent practical experience.
Experience with building scalable partner ecosystems ranging from agile partners, mid-tier integrators and global system integrators.
Experience working with products in Infrastructure as a Service (IaaS) or Platform as a Service (PaaS).
Ability to speak and write English and German fluently and idiomatically.","MBA degree.
Industry knowledge of System Integrators (SIs)/Service Providers (SPs) and Independent Software Vendors (ISVs). Knowledge of Cloud ecosystem.
Understanding of foundational cloud technologies (network, compute, database, middleware, visualization, etc).
Partner/channel pipeline development and people management skills.
Demonstrated interpersonal skills when working in a cross-functional organization.
Excellent written and oral communication skills."
